,pl,be,uk,ru,bg,sl,cs,en
3293,Aleksy IV Angelos,Аляксей IV Ангел,Олексій IV Ангел,Алексей IV Ангел,Алексий IV Ангел,Aleksej IV. Angel,Alexios IV. Angelos,Alexios IV Angelos
3294,Nicefor III Botaniates,Нікіфар III Ватаніят,Никифор III Вотаніат,Никифор III Вотаниат,Никифор III Вотаниат,Nikefor III. Botanijat,Nikéforos III. Botaneiatés,Nikephoros III Botaneiates
3295,Anaksagoras,Анаксагор з Клазаменаў,Анаксагор,Анаксагор,Анаксагор,Anaksagora,Anaxagorás,Anaxagoras
3296,Diogenes z Apollonii,Дыяген Апаланійскі,Діоген Аполлонійський,Диоген Аполлонийский,Диоген Аполонийски,Diogen iz Apolonije,Díogenés z Apollónie,Diogenes of Apollonia
3297,Aurobindo Ghose,Шры Аўрабінда,Шрі Ауробіндо,Шри Ауробиндо,Шри Ауробиндо,Šri Aurobindo,Šrí Aurobindo,Sri Aurobindo
3298,Cemal Gürsel,Джэмаль Гюрсель,Джемаль Гюрсель,Джемаль Гюрсель,Джемал Гюрсел,Cemal Gürsel,Cemal Gürsel,Cemal Gürsel
3299,Bonifacy z Montferratu,Баніфацый I Манферацкі,Боніфацій I Монферратський,Бонифаций I Монферратский,Бонифаций Монфератски,Bonifacij I. Montferraški,Bonifác z Montferratu,Boniface I
3300,Ivar Aasen,Івар Андрэас Осэн,Івар Андреас Осен,Ивар Осен,Ивар Осен,Ivar Andreas Aasen,Ivar Aasen,Ivar Aasen
3301,Filip V Hiszpański,Філіп V ,Філіп V ,Филипп V ,Филип V ,Filip V. Španski,Filip V. Španělský,Philip V of Macedon
3302,Wilhelm Reich,Вільгельм Райх,Вільгельм Райх,Вильгельм Райх,Вилхелм Райх,Wilhelm Reich,Wilhelm Reich,Wilhelm Reich
3303,Evelyn Waugh,Іўлін Во,Івлін Во,Ивлин Во,Ивлин Уо,Evelyn Waugh,Evelyn Waugh,Evelyn Waugh
3304,Karol Młodszy,Карл Юны,Карл Юний,Карл Юный,Карл Млади,Karel Mlajši,Karel Mladší,Charles the Younger
