,pl,be,uk,ru,bg,sl,cs,en
2190,Ian Fleming,Ян Флемінг,Ян Флемінг,Ян Флеминг,Иън Флеминг,Ian Fleming,Ian Fleming,Ian Fleming
2191,Pierce Brosnan,Пірс Броснан,Пірс Броснан,Пирс Броснан,Пиърс Броснан,Pierce Brosnan,Pierce Brosnan,Pierce Brosnan
2192,Sean Connery,Шон Конэры,Шон Коннері,Шон Коннери,Шон Конъри,Sean Connery,Sean Connery,Sean Connery
2193,Colin Firth,Колін Фёрт,Колін Ферт,Колин Ферт,Колин Фърт,Colin Firth,Colin Firth,Colin Firth
2194,Mickey Rourke,Мікі Рурк,Міккі Рурк,Микки Рурк,Мики Рурк,Mickey Rourke,Mickey Rourke,Mickey Rourke
2195,Philip Seymour Hoffman,Філіп Сеймур Хофман,Філіп Сеймур Гоффман,Филип Хоффман,Филип Сиймур Хофман,Philip Seymour Hoffman,Philip Seymour Hoffman,Philip Seymour Hoffman
2196,Leonardo DiCaprio,Леанарда Дзі Капрыа,Леонардо Ді Капріо,Леонардо Ди Каприо,Леонардо ди Каприо,Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio
2197,Alan Rickman,Алан Рыкман,Алан Рікман,Алан Рикман,Алън Рикман,Alan Rickman,Alan Rickman,Alan Rickman
2198,Sean Bean,Шон Бін,Шон Бін,Шон Бин,Шон Бийн,Sean Bean,Sean Bean,Sean Bean
2199,Robert De Niro,Роберт Дэ Ніра,Роберт де Ніро,Роберт Де Ниро,Робърт Де Ниро,Robert De Niro,Robert De Niro,Robert De Niro
2200,Kevin Spacey,Кевін Спейсі,Кевін Спейсі,Кевин Спейси,Кевин Спейси,Kevin Spacey,Kevin Spacey,Kevin Spacey
2201,Jacques Offenbach,Жак Афенбах,Жак Оффенбах,Жак Оффенбах,Жак Офенбах,Jacques Offenbach,Jacques Offenbach,Jacques Offenbach
2202,Ołeh Błochin,Алег Уладзіміравіч Блахін,Олег Блохін,Олег Блохин,Олег Блохин,Oleg Blohin,Oleg Blochin,Oleg Blokhin
2203,Marija Szarapowa,Марыя Юр’еўна Шарапава,Марія Шарапова,Мария Шарапова,Мария Шарапова,Marija Šarapova,Maria Šarapovová,Maria Sharapova
2204,Mateja Kežman,Мацея Кежман,Матея Кежман,Матея Кежман,Матея Кежман,Mateja Kežman,Mateja Kežman,Mateja Kežman
2205,Al Capone,Аль Капонэ,Аль Капоне,Аль Капоне,Ал Капоне,Al Capone,Al Capone,Al Capone
2206,Wassily Kandinsky,Васіль Васільевіч Кандзінскі,Василь Кандинський,Василий Кандинский,Василий Кандински,Vasilij Kandinski,Vasilij Kandinskij,Wassily Kandinsky
2207,Ehud Barak,Эхуд Барак,Егуд Барак,Эхуд Барак,Ехуд Барак,Ehud Barak,Ehud Barak,Ehud Barak
2208,Ariel Szaron,Арыэль Шарон,Арієль Шарон,Ариэль Шарон,Ариел Шарон,Ariel Šaron,Ariel Šaron,Ariel Sharon
2209,Ehud Olmert,Эхуд Ольмерт,Егуд Ольмерт,Эхуд Ольмерт,Ехуд Олмерт,Ehud Olmert,Ehud Olmert,Ehud Olmert
2210,Donald Arthur Glaser,Дональд Артур Глазер,Артур Дональд,Дональд Глазер,Доналд Глейзър,Donald Arthur Glaser,Donald Arthur Glaser,Donald A. Glaser
2211,Lee Harvey Oswald,Лі Харві Освальд,Лі Гарві Освальд,Ли Освальд,Лий Харви Осуалд,Lee Harvey Oswald,Lee Harvey Oswald,Lee Harvey Oswald
2212,Judith Resnik,Джудзіт Арлен Рэзнік,Джудіт Рєзнік,Джудит Резник,Джудит Резник,Judith Resnik,Judith Resniková,Judith Resnik
2213,Anne Hathaway ,Эн Хэтэўэй,Енн Гетевей,Энн Хэтэуэй,Ан Хатауей,Anne Hathaway ,Anne Hathawayová,Anne Hathaway
2214,Julia Roberts,Джулія Робертс,Джулія Робертс,Джулия Робертс,Джулия Робъртс,Julia Roberts,Julia Robertsová,Julia Roberts
2215,Jodie Foster,Джодзі Фостэр,Джоді Фостер,Джоди Фостер,Джоди Фостър,Jodie Foster,Jodie Fosterová,Jodie Foster
2216,Johann Heinrich Pestalozzi,Іаган Генрых Песталоці,Йоганн Генріх Песталоцці,Иоганн Песталоцци,Йохан Хайнрих Песталоци,Johann Heinrich Pestalozzi,Johann Heinrich Pestalozzi,Johann Heinrich Pestalozzi
2217,Maksymilian I Bawarski,Максіміліян I Вітэльсбах,Максиміліан I Баварський,Максимилиан I ,Максимилиан I ,Maksimilijan I. Bavarski,Maxmilián I. Bavorský,Maximilian I
2218,Woody Allen,Вудзі Ален,Вуді Аллен,Вуди Аллен,Уди Алън,Woody Allen,Woody Allen,Woody Allen
2219,Helen Hunt,Хелен Хант,Гелен Гант,Хелен Хант,Хелън Хънт,Helen Hunt,Helen Hunt,Helen Hunt
2220,Fryderyk V ,Фрыдрых V,Фрідріх V Пфальцський,Фридрих V ,Фридрих V ,Friderik V. Pfalški,Fridrich Falcký,Frederick V
2221,Ludwik VII Brodaty,Людвіг VII Барадаты,Людвіг VII ,Людвиг VII Бородатый,Лудвиг VII ,Ludvik VII. Bavarski,Ludvík VII. Bavorský,Louis VII the Bearded
2222,Karol IX Walezjusz,Карл IX Валуа,Карл IX Валуа,Карл IX ,Шарл IX ,Karel IX. Francoski,Karel IX. Francouzský,Charles IX of France
2223,Ludwik VI Gruby,Людовік VI Тоўсты,Людовик VI Гладкий,Людовик VI,Луи VI ,Ludvik VI. Francoski,Ludvík VI. Francouzský,Louis VI of France
2224,Karol X,Карл X Бурбон,Карл X ,Карл X ,Шарл X,Karel X. Francoski,Karel X,Charles X
2225,Binjamin Netanjahu,Біньямін Нетаньяху,Беньямін Нетаньягу,Биньямин Нетаньяху,Бенямин Нетаняху,Benjamin Netanjahu,Benjamin Netanjahu,Benjamin Netanyahu
2226,André Le Nôtre,Андрэ Ленотр,Андре Ленотр,Андре Ленотр,Андре Льо Нотър,André le Notre,André Le Nôtre,André Le Nôtre
2227,Jakub I Stuart,Якаў I ,Яків I ,Яков I ,Джеймс I ,Jakob I. Angleški,Jakub I. Stuart,Jacob Stuart
2228,William James,Уільям Джэймс,Вільям Джеймс,Уильям Джеймс,Уилям Джеймс,William James,William James,William James
2229,Jacques-René Hébert,Жак-Рэнэ Эбер,Жак-Рене Ебер,Жак-Рене Эбер,Жак-Рене Ебер,Jacques René Hébert,Jacques-René Hébert,Jacques Hébert
2230,Jan van Eyck,Ян ван Эйк,Ян ван Ейк,Ян Ван Эйк,Ян ван Ейк,Jan van Eyck,Jan van Eyck,Jan van Eyck
2231,Iwan Ajwazowski,Іван Канстанцінавіч Айвазоўскі,Іван Айвазовський,Иван Айвазовский,Иван Айвазовски,Ivan Konstantinovič Ajvazovski,Ivan Ajvazovskij,Ivan Aivazovsky
2232,Percy Bysshe Shelley,Персі Біш Шэлі,Персі Біші Шеллі,Перси Шелли,Пърси Биш Шели,Percy Bysshe Shelley,Percy Bysshe Shelley,Percy Bysshe Shelley
2233,Charles Sherrington,Чарлз Скот Шэрынгтан,Чарлз Скотт Шеррінгтон,Чарльз Шеррингтон,Чарлз Шерингтън,Charles Scott Sherrington,Charles Scott Sherrington,Charles Scott Sherrington
2234,Josh Duhamel,Джош Дзюамель,Джош Демел,Джош Дюамель,Джош Дъмел,Josh Duhamel,Josh Duhamel,Josh Duhamel
2235,Jean Piaget,Жан Піяжэ,Жан Піаже,Жан Пиаже,Жан Пиаже,Jean Piaget,Jean Piaget,Jean Piaget
2236,Gerald Edelman,Джэралд Морыс Эдэльмэн,Джеральд Едельман,Джералд Эдельман,Джералд Еделман,Gerald Edelman,Gerald Edelman,Gerald Edelman
2237,Imre Kálmán,Імрэ Кальман,Імре Кальман,Имре Кальман,Имре Калман,Emmerich Kálmán,Emmerich Kálmán,Emmerich Kálmán
2238,Izabela Portugalska ,Ізабела Партугальская,Ізабела Португальська ,Изабелла Португальская,Изабела Португалска ,Izabela Portugalska,Isabela Portugalská,Isabella of Portugal
2239,Wayne Rooney,Уэйн Руні,Вейн Руні,Уэйн Руни,Уейн Руни,Wayne Rooney,Wayne Rooney,Wayne Rooney
2240,Franz Lehár,Франц Легар,Франц Легар,Франц Легар,Франц Лехар,Franz Lehár,Franz Lehár,Franz Lehár
2241,John Everett Millais,Джон Эверэт Міле,Джон Еверетт Мілле,Джон Милле,Джон Евърет Миле,John Everett Millais,John Everett Millais,John Everett Millais
2242,John Keats,Джон Кітс,Джон Кітс,Джон Китс,Джон Кийтс,John Keats,John Keats,John Keats
2243,Johann Friedrich Blumenbach,Іаган Фрыдрых Блуменбах,Йоганн Фрідріх Блуменбах,Иоганн Блуменбах,Йохан Фридрих Блуменбах,Johann Friedrich Blumenbach,Johann Friedrich Blumenbach,Johann Friedrich Blumenbach
2244,Friedrich Wöhler,Фрыдрых Вёлер,Фрідріх Велер,Фридрих Вёлер,Фридрих Вьолер,Friedrich Wöhler,Friedrich Wöhler,Friedrich Wöhler
2245,Justus von Liebig,Юстус Лібіх,Юстус фон Лібіх,Юстус Либих,Юстус фон Либих,Justus von Liebig,Justus von Liebig,Justus von Liebig
2246,Emmy Noether,Эмі Нётэр,Еммі Нетер,Эмми Нётер,Еми Ньотер,Emmy Noether,Emmy Noetherová,Emmy Noether
2247,Hermann Weyl,Герман Вейль,Герман Вейль,Герман Вейль,Херман Вайл,Hermann Weyl,Hermann Weyl,Hermann Weyl
2248,Niki Lauda,Нікі Лауда,Нікі Лауда,Ники Лауда,Ники Лауда,Niki Lauda,Niki Lauda,Niki Lauda
2249,Michael Jordan,Майкл Джордан,Майкл Джордан,Майкл Джордан,Майкъл Джордан,Michael Jordan,Michael Jordan,Michael Jordan
2250,Scottie Pippen,Скоці Піпен,Скотті Піппен,Скотти Пиппен,Скоти Пипън,Scottie Pippen,Scottie Pippen,Scottie Pippen
2251,Shaquille O’Neal,Шакіл О’Ніл,Шакіл О'Ніл,Шакил О’Нил,Шакил О'Нийл,Shaquille O'Neal,Shaquille O'Neal,Shaquille O'Neal
2252,Évariste Galois,Эварыст Галуа,Еварист Галуа,Эварист Галуа,Еварист Галоа,Évariste Galois,Évariste Galois,Évariste Galois
2253,Orlando Bloom,Арланда Блум,Орландо Блум,Орландо Блум,Орландо Блум,Orlando Bloom,Orlando Bloom,Orlando Bloom
2254,Francis Fukuyama,Фрэнсіс Фукуяма,Френсіс Фукуяма,Фрэнсис Фукуяма,Франсис Фукуяма,Francis Fukuyama,Francis Fukuyama,Francis Fukuyama
2255,Jurij Łotman,Юрый Міхайлавіч Лотман,Юрій Лотман,Юрий Лотман,Юрий Лотман,Jurij Mihajlovič Lotman,Jurij Michajlovič Lotman,Juri Lotman
2256,Edward IV York,Эдуард IV,Едуард IV,Эдуард IV,Едуард IV,Edvard IV. Angleški,Eduard IV,Edward IV of England
2257,Anatolij Łunaczarski,Анатоль Васільевіч Луначарскі,Анатолій Луначарський,Анатолий Луначарский,Анатолий Луначарски,Anatolij Vasiljevič Lunačarski,Anatolij Lunačarskij,Anatoly Lunacharsky
2258,Erik Erikson,Эрык Эрыксан,Ерік Еріксон,Эрик Эриксон,Ерик Ериксон,Erik Erikson,Erik Erikson,Erik Erikson
2259,Brad Pitt,Брэд Піт,Бред Пітт,Брэд Питт,Брад Пит,Brad Pitt,Brad Pitt,Brad Pitt
2260,Tigran Petrosjan,Тыгран Вартанавіч Петрасян,Тигран Петросян,Тигран Петросян,Тигран Петросян,Tigran Petrosjan,Tigran Petrosjan,Tigran Petrosian
2261,John Zorn,Джон Зорн,Джон Зорн,Джон Зорн,Джон Зорн,John Zorn,John Zorn,John Zorn
2262,Pierre Veyron,П’ер Вейрон,П'єр Вейрон,Пьер Вейрон,Пиер Вейрон,Pierre Veyron,Pierre Veyron,Pierre Veyron
2263,Michael D. Higgins,Майкл Хігінс,Майкл Гіґґінс,Майкл Хиггинс,Майкъл Хигинс,Michael D. Higgins,Michael D. Higgins,Michael D. Higgins
2264,Rutger Hauer,Рутгер Хаўэр,Рутгер Гауер,Рутгер Хауэр,Рютгер Хауер,Rutger Hauer,Rutger Hauer,Rutger Hauer
2265,Marcin IV,Марцін IV,Мартин IV,Мартин IV,Мартин IV,Papež Martin IV,Martin IV,Pope Martin IV
2266,Mikołaj III ,Мікалай III,Миколай III,Николай III ,Николай III,Papež Nikolaj III,Mikuláš III,Pope Nicholas III
2267,Honoriusz IV,Ганорый IV,Гонорій IV,Гонорий IV,Хонорий IV,Papež Honorij IV,Honorius IV,Pope Honorius IV
2268,Mikołaj IV ,Мікалай IV,Миколай IV,Николай IV,Николай IV,Papež Nikolaj IV,Mikuláš IV,Pope Nicholas IV
2269,Urban IV,Урбан IV,Урбан IV,Урбан IV,Урбан IV ,Papež Urban IV,Urban IV,Pope Urban IV
2270,Klemens IV,Клімент IV,Климент IV,Климент IV,Климент IV,Papež Klemen IV,Klement IV,Pope Clement IV
2271,Grzegorz X,Грыгорый X,Григорій X,Григорий X,Григорий X ,Papež Gregor X,Řehoř X,Pope Gregory X
2272,Innocenty V,Інакенцій V,Інокентій V,Иннокентий V,Инокентий V ,Papež Inocenc V,Inocenc V,Pope Innocent V
2273,Harper Lee,Харпер Лі,Гарпер Лі,Харпер Ли,Харпър Ли,Harper Lee,Harper Leeová,Harper Lee
2274,Vivien Leigh,Віўен Лі,Вів'єн Лі,Вивьен Ли,Вивиан Лий,Vivien Leigh,Vivien Leighová,Vivien Leigh
2275,Robert E. Lee,Роберт Эдуард Лі,Роберт Едвард Лі,Роберт Ли,Робърт Лий,Robert Edward Lee,Robert Edward Lee,Robert E. Lee
2276,Grzegorz VIII,Грыгорый VIII,Григорій VIII,Григорий VIII ,Григорий VIII ,Papež Gregor VIII,Řehoř VIII,Pope Gregory VIII
2277,Wilhelm I Orański,Вільгельм I Аранскі,Вільгельм I Оранський,Вильгельм I Оранский,Вилхелм Орански,Viljem I. Oranski,Vilém I. Oranžský,William the Silent
2278,Decebal,Дэцэбал,Децебал,Децебал,Децебал,Decebal,Decebalus,Decebalus
2279,Domicjan,Даміцыян,Доміціан,Домициан,Домициан,Domicijan,Domitianus,Domitian
2280,Maurycy Orański,Морыц Аранскі,Моріц Оранський,Мориц Оранский,Мориц Орански,Mavricij Oranski,Mořic Oranžský,Maurice
2281,Fryderyk Henryk Orański,Фрэдэрык Генрых Аранскі,Фредерік Гендрік Оранський,Фредерик Генрих Оранский,Фредерик Хендрик Орански,Friderik Henrik Oranski,Frederik Hendrik Oranžský,Frederick Henry
2282,Kassander,Касандр,Кассандр Македонський,Кассандр,Касандър,Kasander Makedonski,Kassandros,Cassander
2283,Emily Deschanel,Эмілі Дэшанель,Емілі Дешанель,Эмили Дешанель,Емили Дешанел,Emily Deschanel,Emily Deschanelová,Emily Deschanel
2284,Chuck Palahniuk,Чак Паланюк,Чак Поланік,Чак Паланик,Чък Паланюк,Chuck Palahniuk,Chuck Palahniuk,Chuck Palahniuk
2285,Alonzo Church,Алонза Чорч,Алонзо Черч,Алонзо Чёрч,Алонсо Чърч,Alonzo Church,Alonzo Church,Alonzo Church
2286,Bolesław III Krzywousty,Баляслаў III Крывавусты,Болеслав III Кривовустий,Болеслав III Кривоустый,Болеслав III Кривоусти,Boleslav III. Poljski,Boleslav III. Křivoústý,Bolesław III Wrymouth
2287,Miłosz I Obrenowić,Мілаш Абрэнавіч,Милош Обренович,Милош Обренович,Милош Обренович,Miloš Obrenović,Miloš Obrenović I,Miloš Obrenović I of Serbia
2288,Pierre Teilhard de Chardin,П. Тэяр дэ Шардэн,П'єр Теяр де Шарден,Пьер Тейяр де Шарден,Пиер Теяр дьо Шарден,Pierre Teilhard de Chardin,Pierre Teilhard de Chardin,Pierre Teilhard de Chardin
2289,William Makepeace Thackeray,Уільям Мейкпіс Тэкерэй,Вільям Текерей,Уильям Теккерей,Уилям Мейкпийс Такъри,William Makepeace Thackeray,William Makepeace Thackeray,William Makepeace Thackeray
2290,Oscar Isaac,Оскар Айзек,Оскар Айзек,Оскар Айзек,Оскар Айзък,Oscar Isaac,Oscar Isaac,Oscar Isaac
2291,Jan Nepomucen,Ян Непамуцкі,Ян Непомуцький,Ян Непомуцкий,Йоан Непомуцки,Janez Nepomuk,Jan Nepomucký,John of Nepomuk
2292,Klaus Kinkel,Клаус Кінкель,Клаус Кінкель,Клаус Кинкель,Клаус Кинкел,Klaus Kinkel,Klaus Kinkel,Klaus Kinkel
2293,Hans-Dietrich Genscher,Ганс-Дзітрых Геншэр,Ганс-Дітріх Геншер,Ганс-Дитрих Геншер,Ханс-Дитрих Геншер,Hans-Dietrich Genscher,Hans-Dietrich Genscher,Hans-Dietrich Genscher
2294,Reinhard Gehlen,Рэйнхард Гелен,Райнгард Гелен,Рейнхард Гелен,Райнхард Гелен,Reinhard Gehlen,Reinhard Gehlen,Reinhard Gehlen
2295,Frank Zappa,Фрэнк Вінсент Запа,Френк Заппа,Фрэнк Заппа,Франк Запа,Frank Zappa,Frank Zappa,Frank Zappa
2296,Święty Sebastian,Святы Себасцьян,Севастіан Нарбонський,Святой Себастьян,Себастиан,Sveti Boštjan,Svatý Šebestián,Saint Sebastian
2297,Willi Stoph,Вілі Штоф,Віллі Штоф,Вилли Штоф,Вили Щоф,Willi Stoph,Willi Stoph,Willi Stoph
2298,David Lynch,Дэвід Лінч,Девід Лінч,Дэвид Линч,Дейвид Линч,David Lynch,David Lynch,David Lynch
2299,Frank Herbert,Фрэнк Герберт,Френк Герберт,Фрэнк Герберт,Франк Хърбърт,Frank Herbert,Frank Herbert,Frank Herbert
2300,Oliver Stone,Олівер Стоўн,Олівер Стоун,Оливер Стоун,Оливър Стоун,Oliver Stone,Oliver Stone,Oliver Stone
2301,Angelina Jolie,Анджэліна Джалі,Анджеліна Джолі,Анджелина Джоли,Анджелина Джоли,Angelina Jolie,Angelina Jolie,Angelina Jolie
2302,Roger Federer,Роджэр Федэрэр,Роджер Федерер,Роджер Федерер,Роджър Федерер,Roger Federer,Roger Federer,Roger Federer
2303,Jennifer Aniston,Джэніфер Эністан,Дженніфер Еністон,Дженнифер Энистон,Дженифър Анистън,Jennifer Aniston,Jennifer Aniston,Jennifer Aniston
2304,Anna Kurnikowa,Ганна Сяргееўна Курнікава,Анна Курникова,Анна Курникова,Анна Курникова,Ana Kurnikova,Anna Kurnikovová,Anna Kournikova
2305,Chuck Norris,Чак Норыс,Чак Норріс,Чак Норрис,Чък Норис,Chuck Norris,Chuck Norris,Chuck Norris
2306,Bruce Lee,Брус Лі,Брюс Лі,Брюс Ли,Брус Лий,Bruce Lee,Bruce Lee,Bruce Lee
2307,Steven Seagal,Стывен Сігал,Стівен Сігал,Стивен Сигал,Стивън Сегал,Steven Seagal,Steven Seagal,Steven Seagal
2308,Hayden Panettiere,Хейдэн Панецьер,Гейден Панеттьєр,Хейден Панеттьер,Хейдън Пенетиър,Hayden Panettiere,Hayden Panettiere,Hayden Panettiere
2309,William Harvey,Уільям Гарвей,Вільям Гарвей,Уильям Гарвей,Уилям Харви,William Harvey,William Harvey,William Harvey
2310,Paul d’Holbach,Поль Анры Гольбах,Поль Анрі Гольбах,Поль Гольбах,Пол-Анри Дитрих Холбах,Paul Henri Thiry d'Holbach,Paul Heinrich Dietrich von Holbach,Baron d'Holbach
2311,Klement Gottwald,Клемент Готвальд,Клемент Ґотвальд,Клемент Готвальд,Клемент Готвалд,Klement Gottwald,Klement Gottwald,Klement Gottwald
2312,Wilhelm II Holenderski,Вілем II,Віллем II,Виллем II,Вилхелм II Нидерландски,Viljem II. Nizozemski,Vilém II. Nizozemský,William II of the Netherlands
2313,Martina Hingis,Марціна Хінгіс,Мартіна Хінгіс,Мартина Хингис,Мартина Хингис,Martina Hingis,Martina Hingisová,Martina Hingis
2314,Martina Navrátilová,Марціна Наўрацілава,Мартіна Навратілова,Мартина Навратилова,Мартина Навратилова,Martina Navratilova,Martina Navrátilová,Martina Navratilova
2315,Steffi Graf,Штэфі Граф,Штеффі Граф,Штеффи Граф,Щефи Граф,Steffi Graf,Steffi Grafová,Steffi Graf
2316,Justine Henin,Жусцін Энэн,Жустін Енен,Жюстин Энен,Жустин Енен,Justine Henin,Justine Heninová,Justine Henin
2317,Lindsay Davenport,Ліндсей Дэвенпорт,Ліндсі Девенпорт,Линдсей Дэвенпорт,Линдзи Дейвънпорт,Lindsay Davenport,Lindsay Davenportová,Lindsay Davenport
2318,Serena Williams,Серэна Уільямс,Серена Вільямс,Серена Уильямс,Серина Уилямс,Serena Williams,Serena Williamsová,Serena Williams
2319,Suzanne Lenglen,Сюзан Ленглен,Сюзанн Ленглен,Сюзанн Ленглен,Сюзан Ланглан,Suzanne Lenglen,Suzanne Lenglenová,Suzanne Lenglen
2320,Kim Clijsters,Кім Клейстэрс,Кім Клейстерс,Ким Клейстерс,Ким Клейстерс,Kim Clijsters,Kim Clijstersová,Kim Clijsters
2321,Eric Clapton,Эрык Клэптан,Ерік Клептон,Эрик Клэптон,Ерик Клептън,Eric Clapton,Eric Clapton,Eric Clapton
2322,David Gilmour,Дэвід Гілмар,Девід Гілмор,Дэвид Гилмор,Дейвид Гилмор,David Gilmour,David Gilmour,David Gilmour
2323,Leopold I Koburg,Леапольд I ,Леопольд I ,Леопольд I ,Леополд I ,Leopold I. Belgijski,Leopold I. Belgický,Leopold I
2324,Jan bez Ziemi,Іаан Беззямельны,Іоанн I Безземельний,Иоанн Безземельный,Джон I,Ivan Brez dežele,Jan Bezzemek,John
2325,Albert I Koburg,Альберт I ,Альберт I ,Альберт I ,Албер I ,Albert I. Belgijski,Albert I. Belgický,Albert I
2326,Leopold II Koburg,Леапольд II ,Леопольд II ,Леопольд II ,Леополд II ,Leopold II. Belgijski,Leopold II. Belgický,Leopold II
2327,Oscar Niemeyer,Оскар Німеер,Оскар Німеєр,Оскар Нимейер,Оскар Нимайер,Oscar Niemeyer,Oscar Niemeyer,Oscar Niemeyer
2328,Richard Owen,Рычард Оўэн,Річард Оуен,Ричард Оуэн,Ричард Оуен,Richard Owen,Richard Owen,Richard Owen
2329,Todor Żiwkow,Тодар Жыўкаў,Тодор Живков,Тодор Живков,Тодор Живков,Todor Živkov,Todor Živkov,Todor Zhivkov
2330,Święty Wit,Святы Віт,Віт Луканійський,Святой Вит,Вит ,Sveti Vid,Svatý Vít,Vit
2331,Wacław I Święty,Святы Вацлаў,Вацлав I ,Святой Вацлав,Вацлав I Свети,Sveti Venceslav,Svatý Václav,Wenceslaus I
2332,Kim Dzong Un,Кім Чэн Ын,Кім Чен Ин,Ким Чен Ын,Ким Чен Ун,Kim Džong-un,Kim Čong-un,Kim Jong-un
2333,Wierka Serdiuczka,Андрэй Міхайлавіч Данілка,Андрій Данилко,Андрей Данилко,Верка Сердючка,Verka Serdučka,Věrka Serďučka,Verka Serduchka
2334,Henryk III Plantagenet,Генрых III ,Генріх III ,Генрих III ,Хенри III ,Henrik III. Angleški,Jindřich III. Plantagenet,Henry III of England
2335,François Villon,Франсуа Віён,Франсуа Війон,Франсуа Вийон,Франсоа Вийон,François Villon,François Villon,François Villon
2336,Al Pacino,Аль Пачына,Аль Пачіно,Аль Пачино,Ал Пачино,Al Pacino,Al Pacino,Al Pacino
2337,Nicolas Cage,Нікалас Кейдж,Ніколас Кейдж,Николас Кейдж,Никълъс Кейдж,Nicolas Cage,Nicolas Cage,Nicolas Cage
2338,Sofia Coppola,Сафія Копала,Софія Коппола,София Коппола,София Копола,Sofia Coppola,Sofia Coppola,Sofia Coppola
2339,Kirsten Dunst,Кірстэн Данст,Кірстен Данст,Кирстен Данст,Кирстен Дънст,Kirsten Dunst,Kirsten Dunstová,Kirsten Dunst
2340,Danny Boyle,Дэні Бойл,Денні Бойл,Дэнни Бойл,Дани Бойл,Danny Boyle,Danny Boyle,Danny Boyle
2341,Henryk I Beauclerc,Генрых I Баклерк,Генріх I Боклерк,Генрих I ,Хенри I ,Henrik I. Angleški,Jindřich I. Anglický,Henry I of England
2342,Albert Wielki,Альберт Вялікі,Альберт Великий,Альберт Великий,Алберт Велики,Albert Veliki,Albert Veliký,Albertus Magnus
2343,Armin van Buuren,Армін ван Бюрэн,Армін ван Бюрен,Армин Ван Бюрен,Армин ван Бюрен,Armin van Buuren,Armin van Buuren,Armin van Buuren
2344,Epikur,Эпікур,Епікур,Эпикур,Епикур,Epikur,Epikúros,Epicurus
2345,Demokryt,Дэмакрыт,Демокріт,Демокрит,Демокрит,Demokrit,Démokritos,Democritus
2346,Leukippos,Леўкіп,Левкіпп,Левкипп,Левкип,Levkip,Leukippos z Milétu,Leucippus
2347,Parmenides,Парменід,Парменід,Парменид,Парменид,Parmenid,Parmenidés,Parmenides
2348,Empedokles,Эмпедокл,Емпедокл,Эмпедокл,Емпедокъл,Empedoklej,Empedoklés,Empedocles
2349,Zenon z Elei,Зянон Элейскі,Зенон Елейський,Зенон Элейский,Зенон от Елея,Zenon,Zénón z Eleje,Zeno of Elea
2350,Heraklit,Геракліт,Геракліт,Гераклит,Хераклит,Heraklit Mračni,Hérakleitos,Heraclitus
2351,Ksenofanes,Ксенафан,Ксенофан,Ксенофан,Ксенофан,Ksenofan,Xenofanés,Xenophanes
2352,Joanna Grey,Джэйн Грэй,Джейн Грей,Джейн Грей,Джейн Грей,Jana Grey,Jana Greyová,Lady Jane Grey
2353,Wilhelm II Rudy,Вільгельм II Руды,Вільгельм II Рудий,Вильгельм II ,Уилям II ,Viljem II. Angleški,Vilém II. Ryšavý,William II of England
2354,Maria II Stuart,Марыя II ,Марія II ,Мария II ,Мария II Стюарт,Marija II. Angleška,Marie II. Stuartovna,Mary II of England
2355,Edward ,Эдуард Чорны Прынц,Едуард Чорний Принц,Эдуард Чёрный Принц,Едуард,Edvard Črni Princ,Eduard ,Edward
2356,Galba,Гальба,Гальба,Гальба,Галба,Galba,Galba,Galba
2357,Karakalla,Каракала,Каракалла,Каракалла,Каракала,Karakala,Caracalla,Caracalla
2358,Witeliusz,Вітэлій,Вітеллій,Авл Вителлий,Вителий,Vitelij,Vitellius,Vitellius
2359,Jakub II Stuart,Якаў II Сцюарт,Яків II ,Яков II,Джеймс II ,Jakob II. Angleški,Jakub II. Stuart,James II
2360,Carl Orff,Карл Орф,Карл Орф,Карл Орф,Карл Орф,Carl Orff,Carl Orff,Carl Orff
2361,William Ockham,Уільям Окам,Вільям Оккам,Уильям Оккам,Уилям Окам,Vilijem iz Ockhama,William Ockham,William of Ockham
2362,Diogenes z Synopy,Дыяген,Діоген Сінопський,Диоген,Диоген Синопски,Diogen iz Sinope,Díogenés ze Sinópé,Diogenes
2363,Diogenes Laertios,Дыяген Лаэрцкі,Діоген Лаертський,Диоген Лаэртский,Диоген Лаерций,Diogen Laertski,Díogenés Laertios,Diogenes Laertius
2364,Douglas MacArthur,Дуглас Мак-Артур,Дуглас Макартур,Дуглас Макартур,Дъглас Макартър,Douglas MacArthur,Douglas MacArthur,Douglas MacArthur
2365,Małgorzata II,Маргрэтэ II,Маргрете II,Маргрете II,Маргрете II,Margareta II. Danska,Markéta II,Margrethe II of Denmark
2366,Fryderyk IX,Фрэдэрык IX,Фредерік IX,Фредерик IX,Фредерик IX,Friderik IX. Danski,Frederik IX,Frederick IX of Denmark
2367,Piotr I Karadziordziewić,Пётр I Карагеоргіевіч,Петро I Карагеоргієвич,Пётр I Карагеоргиевич,Петър I Караджорджевич,Peter I. Karađorđević,Petr I. Karađorđević,Peter I of Serbia
2368,Zenodot z Efezu,Зенадот Эфескі,Зенодот,Зенодот Эфесский,Зенодот Ефески,Zenodot,Zénodotos,Zenodotus
2369,Leszek Kołakowski,Лешак Калакоўскі,Лешек Колаковський,Лешек Колаковский,Лешек Колаковски,Leszek Kołakowski,Leszek Kołakowski,Leszek Kołakowski
