,entity,gender
551,Vladislav Olomoucký,m
552,Giovanni Agostino Perotti,m
553,Giovanni Lorenzo Lulier,m
554,Johannes Althusius,m
555,Quintus Caecilius Metellus Macedonicus,m
556,Robert Pollok,m
557,Gustav Tetzner,m
558,Konrád z Janovic,m
559,Luisa Šarlota Meklenbursko-Zvěřínská,f
560,Wace,m
561,André Hercule de Fleury,m
562,Ida Waldecko-Pyrmontská,f
563,Victor Dourlen,m
564,Ottaviano Petrucci,m
565,Ferdinand Petrovič Wrangel,m
566,German z Paříže,m
567,Markéta z Prades,f
568,Henry Charles Carey,m
569,Adéla Anhaltská,f
570,Eríba-Adad II.,m
571,Francesco Borromini,m
572,Peter Artedi,m
573,Bernard Délicieux,m
574,Melchior Franck,m
575,Adam Filip Losy z Losinthalu,m
576,Károly Kisfaludy,m
577,José Bonifácio de Andrada e Silva,m
578,Vojtěch Richtrmoc,m
579,Filip Burgundský,m
580,Jindřich III. Wettinský,m
581,Nicolò Sebregondi,m
582,František Zapletal,m
583,Antonio Sapienza starší,m
584,Zdeněk Kalista,m
585,Adolf ze Schwarzenbergu,m
586,Franz Christoph von Khevenhüller,m
587,Gisela Burgundská,f
588,Ingebjørg Guttormsdatter,f
589,Michael Jan III. z Althannu,f
590,Jan Klimak,m
591,Daniil Danilovič Aršinskij,m
592,Christoph Wilhelm von Kalckstein,m
593,Waldebert,m
594,Allan Cunningham,m
595,Heinrich Fürnkranz starší,m
596,František Václav z Kounic,f
597,Luisa Alžběta Kuronská,f
598,Arnošt II. Sasko-Gothajsko-Altenburský,m
599,Josef Motyka,m
600,Jernej Kopitar,m
601,Alžběta Žofie Braniborská,f
602,Enlil-násir II.,m
603,Žofie Braniborská,f
604,Michel Garicoïts,m
605,Martin Edzodzomo-Ela,m
606,Klement VII.,m
607,Juan Bautista de Anza,m
608,Thrasybúlos,m
609,Nicolaas Laurens Burman,m
610,Ivan Sulima,m
611,Antonio Abbondi,m
612,Perdikkás III.,m
613,Alessandro Duroni,m
614,Hatice Sultan,f
615,Huon de Villeneuve,m
616,Anne Conwayová,f
617,Abrahám z Čech,m
618,Humphry Repton,m
619,Stefano Ronchetti-Monteviti,m
620,Jolanda z Montferratu,f
621,Rudolf Macek,m
622,Franz Xaver Riepl,m
623,William Ellery,m
624,Giovanni Battista Guarini,m
625,James Parkinson,m
626,Pavel Mahrer,m
627,Tobiáš Pock,f
628,Hendrik Kloosterman,m
629,Wenzel Jamnitzer,m
630,Pipin Italský,m
631,Proklos,m
632,Carlo Monza,m
633,Jindřich IV. z Baru,m
634,Josef Bartoloměj Slavík,m
635,Friedrich von Adelung,m
636,"Richard Lumley, 1. hrabě ze Scarborough",m
637,Gaston Orleánský,m
638,Marie Dolgorukovová,f
639,Hasdrubal Barkas,m
640,Magnus V. Norský,m
641,Louis Claude Marie Richard,m
642,Louis-Antoine de Noailles,m
643,Tony Shanahan,m
644,Svatý Norbert,f
645,Albrecht I. Habsburský,m
646,Anna Korutanská,f
647,Maecenas,m
648,Attaces,m
649,Destani Wolf,f
650,Jindřich VI. Štaufský,m
651,Edmund I.,m
652,Michelangelo Grancini,m
653,Zoltan Zinn-Collis,m
654,Jan Marcus Marci,m
655,Augustin Alexis Damour,m
656,Gašpar Pika,m
657,Karel Pavlík,m
658,Juliana Sasko-Kobursko-Saalfeldská,f
659,Mechtilda Braniborská,f
660,Orlando di Lasso,m
661,Girolamo Graziani,m
662,Ondřej Bartečko,m
663,Angélique z Froissy,f
664,Augustus Mongredien,m
665,Strachkvas,m
666,Václav II.,m
667,Nikitaras,m
668,Izák z Hvězdy,m
669,Giovanni Girolamo Saccheri,m
670,Adolf Würfel,m
671,Emanuel Nguyễn Văn Triệu,m
672,Leopold Kopal,m
673,Francesco Turini,m
674,Josef von Smola,m
675,Helbirga Babenberská,f
676,Seneca starší,m
677,Jean de Joinville,m
678,Jiří Ostracius,m
679,Kurt Christoph von Schwerin,f
680,Argun,m
681,Alexej Grigorjevič Orlov,m
682,Menhart I. z Hradce,m
683,Walembert z Cambrai,m
684,Merovech II.,m
685,Antoine Perrenot de Granvelle,m
686,Friedrich Leopold Woeste,m
687,Adolf Svoboda,m
688,Pietro Antonio Coppola,m
689,Johann Nepomuk Hiedler,m
690,Nikolaj Vasiljevič Gogol,m
691,Atanáš,m
692,Menno Simons,m
693,Jan Mořic Gustav z Manderscheid-Blankenheimu,m
694,Edward Young,m
695,Jean de La Bruyère,m
696,Eustach Římský,m
697,Ferdinand Leopold Herberstein,f
698,Jean-Baptiste Fleuriot-Lescot,m
699,Carlo Caccia Dominioni,m
700,Stěpan Gavrilovič Glotov,m
701,Barbora Zápolská,f
702,Terezie Eleonora z Ugarte,f
703,Ivan Ryško,m
704,Dagobert III.,m
705,Heribert Rosweyde,m
706,Jaroslav Svjatoslavič,m
707,Jan Malalas,m
708,Július Stano,m
709,Václav Pleiner,m
710,Salimbene z Parmy,m
711,Jan Filip Frimont,f
712,Konrád Baltazar Starhemberg,f
713,"Dudley Ryder, 1. hrabě z Harrowby",m
714,Josef Lidumil Lešikar,f
715,Karel IV. Španělský,m
716,Esma Sultan,f
717,Mary Surratt,f
718,Leopold II.,m
719,Rogněda Polocká,f
720,Markéta Lucemburská,f
721,Wenzel Kaulich,m
722,Kera Tamara,f
723,Julius Agricola,m
724,Marin Barleti,m
725,Gerberga z Grabfeldu,f
726,Slavitah,m
727,Milan Michna,m
728,Gideon Brecher,m
729,Pierre-Esprit Radisson,m
730,William Cowper,m
731,Alžběta z Virneburgu,f
732,Ignác Saltzer,m
733,Arthur Schopenhauer,m
734,Michail Petrovič Pogodin,m
735,Jeroným Hirnhaim,m
736,Sulla,m
737,Karel Jiráček,m
738,François Mansart,m
739,František Vilém Popel z Lobkowicz,m
740,André Dhôtel,m
741,Rudolf Lützow,f
742,Dougie Bowne,m
743,Josef Krasoslav Chmelenský,m
744,Auguste Viquesnel,m
745,Marie Louisa Orleánská,f
746,Thomas Hobbes,m
747,Isabela Despenserová,f
748,Jan Jiří Jáchym Slavata z Chlumu a Košumberka,m
749,Árni Magnússon,m
750,Adam Hodějovský z Hodějova,m
751,Baruch Spinoza,m
752,Théophile-Jules Pelouze,m
753,Pierre Flotte,m
754,Józef Walenty Krzyżanowski,m
755,Stanisław Hernisz,m
756,Jolanda Flanderská,f
757,Bonaventura Cavalieri,m
758,"Bardomianus, Eucarpus a druhové",m
759,Immanuel Kant,m
760,Avraham ben Ša'ul Broda,m
761,Jan Schwetz,m
762,Alessandro Malaspina,m
763,Filip Orleánský,m
764,Julia Minor,f
765,Herodes Agrippa I.,m
766,Jehuda ha-Levi,m
767,Galswintha,f
768,Theofil Alexandrijský,m
769,Aemilia Lepida,f
770,Augusta Bádenská,f
771,Abulcasis,m
772,Josef Max,m
773,Jan Kapistrán de Vos,m
774,Jakub Kray,m
775,Šota Rustaveli,m
776,Jessie Mann,f
777,Jožef Derbič,m
778,Richard Glover,m
779,Šehzade Ahmet,m
780,Řehoř VII.,m
781,Jakub II. Stuart,m
782,Matthew Boulton,m
783,Virpirka z Tenglingu,f
784,Jana Navarrská,f
785,Lucius Aurunculeius Cotta,m
786,Ignác Řivnáč,m
787,Beatrix Neapolská,f
788,Valentin Hrbatý,m
789,Vincenc František Kostelecký,m
790,Fátima,f
791,Alexander McDonnell,m
792,Wolfgang Pauli,m
793,Pietro Aldobrandini,m
794,Hakor,m
795,Alexander Severus,m
796,Ludvík Jagellonský,m
797,Jan Lukáš Kracker,m
798,Georg Philipp Telemann,m
799,Félix Savart,m
800,Lin Liang,m
801,Napua Davoy,f
802,Michael Gottlieb Schuller,m
803,Cornelia Scipio,f
804,Adam Bohorič,m
805,Svatý Domnius,m
806,Millard Fillmore,m
807,Jan Josef Antonín Eleazar Kittel,m
808,Josef Klaus,m
809,Jan Paweł Woronicz,m
810,Sü Šou-chuej,m
811,Hynek z Dubé,m
812,Apollónios z Rhodu,m
813,Mistr Eckhart,m
814,Mordechaj Jaffe,m
815,"María Luisa, vévodkyně z Talavery",f
816,Nikolaus Thalherr,m
817,Kateřina z Valois,f
818,Ivan II. Ivanovič,m
819,Markéta Savojská,f
820,Thomas Carlyle,m
821,Celsus,m
822,Friedrich Wöhler,m
823,Charles Wolfe,m
824,Martin Kopecký,m
825,Sa'dí,m
826,"Thomas de Grey, 2. hrabě de Grey",m
827,Balbina Římská,f
828,Jan Papoušek ze Soběslavi,m
829,Marie z Lusignanu,f
830,Johann Friedrich Kind,m
831,Liou Fu-tchung,m
832,Johann Karl Loth,m
833,Melétios z Antiochie,m
834,Anne de Montmorency,m
835,Frebonie Eusebie z Pernštejna,f
836,Vincenzo Scamozzi,m
837,Moritz von Schwind,m
838,"Richard Grenville, 2. hrabě Temple",m
839,Hans Hoffmann,m
840,Giovanni Battista Moroni,m
841,Aurangzéb,m
842,Štěpán Pohrobek,m
843,Husrav II.,m
844,Titus Catius Asconius Silius Italicus,m
845,Jaume Olives,m
846,Maximilián Rumpál,m
847,Vítek II. starší z Krumlova,m
848,Siang Jü,m
849,Frans Ykens,m
850,Benjamín z Tudely,m
851,Giuseppe Vignola,m
852,Fu Kchuan,m
853,Pargali Ibrahim Paša,m
854,Rosso Fiorentino,f
855,Hans von Aachen,m
856,Zikmund z Haimhausenu,m
857,Ludwig Georg Treviranus,m
858,Delfina Potocka,f
859,Všebor II. Hrabišic,m
860,Jean-Baptiste Boësset,m
861,"Thomas Osborne, 1. vévoda z Leedsu",m
862,Georgios Akropolites,m
863,Eugène Durieu,m
864,Ambroży Mieroszewski,m
865,Casimir Pulaski,m
866,Marie Magdalena Antonie z Thun-Hohensteinu,f
867,Güzelce Ali Paša,m
868,Radslav mladší Kinský z Vchynic a Tetova,m
869,Nicolai Abraham Abildgaard,m
870,Georg Schönberger,m
871,Karel František Pitsch,m
872,Anna Jindřiška Francouzská,f
873,Apil-Sin,m
