,entity,gender
888,Шомарі Капомбе,m
889,Сільвен ван де Веєр,m
890,Олексій Угаров,m
891,Монс Рейсланд,m
892,Джиммі Геган,m
893,Дайнюс Бауба,m
894,Маркус Кінк,m
895,Стефані Кір'якова,f
896,Джастін Сметерст,m
897,Мохамед Дарамі,m
898,Франко Каузіо,m
899,Стівен Девіс,m
900,Василь Устьянцев,m
901,Роберт Новак,m
902,Джеймс Честер,m
903,Олександр Гавриш,m
904,Жасінту Сантуш,m
905,Егава Сігеміцу,m
906,Юрій Ковальчик,m
907,Петро Вдовенко,m
908,Анатолій Ковлягін,m
909,Есме Віссер,m
910,Юліуш Цибульський,m
911,Мірослав Залешак,m
912,Володимир Іванов,m
913,Йоахім Вах,m
914,Анатолій Ігнащенко,m
915,Гао Хунбо,m
916,Джон Гідмен,m
917,Генріх фон Віттек,m
918,Джон Волтер,m
919,Кетрін Джонсон,m
920,Кенрік Монк,m
921,Ян Чарногурський,m
922,Оттавіо Рінучині,m
923,Джоакіно Ґреко,m
924,Жамаль Алі,m
925,Теймур Мамедов,m
926,Василь Каменщик,m
927,Юрій Юр'єв,m
928,Ернест Маліновський,m
929,Марко Топич,m
930,Маверік Віньялес,m
931,Мелвілл Спенс,m
932,Жлудкін,m
933,Сергій Філімонов,m
934,Вім Сюрбір,m
935,Леонід Новохатько,m
936,Денис Юрченко,m
937,Катерина Статнік,f
938,Джон Карпентер,m
939,Абдаллах ібн Мухаммед,m
940,Кім Філбі,m
941,Валерій Маренич,m
942,В'ячеслав Морщенок,m
943,Дмитро Фомін,m
944,Валерій Корнієнко,m
945,Меґан Джендрік,m
946,Бідзіна Кулумбегов,m
947,Генрі Шелтон,m
948,Гжегож Ковальський,m
949,Людвік Данек,m
950,Джорджіо Деметріо Ґалларо,m
951,Геннадій Єфіменко,m
952,Павло Безрук,m
953,Людвіг Носс,m
954,Олексій Винокуров,m
955,Самар Банерджі,m
956,Джек Ленс,m
957,Анастасія Шаботова,f
958,Елізабет Страут,f
959,Глен Девіс,m
960,Горія Текеу,m
961,Георгій Ушаков,m
962,Август Ефраїм Крамер,m
963,Борис Тадич,m
964,Хамді Саліхі,m
965,Анатолій Шельмук,m
966,Марина Козловська,f
967,Гайнц Віттхов фон Брезе-Вініари,m
968,Сарра Житомирська,f
969,Василь Архипенко,m
970,Ботонд Шторц,m
971,Яків Щербатєєв,m
972,Афанасій Лужанин,m
973,Серен Лербю,m
974,Джефф Серовик,m
975,Луїс де Ласі,m
976,Кшиштоф Савицький,m
