,entity,gender
686,Пранас Вайчайціс,m
687,Хацкель Дунец,m
688,Джордж Ола,m
689,Марк Твэн,m
690,Георг Барадаты,m
691,Вортыгерн,m
692,Юл Брынер,m
693,Францішак Бялінскі ,m
694,Станіслаў Мацкевіч,m
695,Ганна Клеўская,f
696,Уладзімір Салончанка,m
697,Міхась Ракевіч,m
698,Тэрэза Авільская,f
699,Франсішку ды Са ды Міранда,m
700,Крстэ Петкаў Місіркаў,m
701,Караліна Відэрстром,m
702,Хаміт Агліулін,m
703,Рыгор Дзенісенка,m
704,Рыхард Штраус,m
705,Вацлаў Жылінскі,m
706,Юрый Кухарэнка,m
707,Амбруаз Парэ,m
708,Аляксандр Бараўскі,m
709,Канстанцін Антонаў,m
710,Вольга Кудраўцава,f
711,Фрыдрых Людвіг Шкель,m
712,Фёдар Бруй,f
713,Джуманіяз Худайбергенаў,m
714,Івана Брліч-Мажураніч,f
715,Вісарыён Бялінскі,m
716,Якаў Мінін,m
717,Алена Грэчаская і Дацкая,f
718,Джон Вен,m
719,Тэафіл Ленартовіч,m
720,Іаланда дэ Куртэнэ,f
721,Тамара Макарава,f
722,Ларыса Аляксеева,f
723,Уладзімір Камароў,m
724,Марыля Верашчака,m
725,Манфрэд фон Рыхтгофен,m
726,Уладзімір Хейфец,m
727,Сяргей Краснапёраў,m
728,Ігнат Кулакоўскі,m
729,Ян Веркадэ,m
730,Юзаф Маркевіч,m
731,Уільям Блэйк,m
732,Пётр Траццякоў,m
733,Іаган Себасцьян Бах,m
734,Антон Маркевіч,m
735,Фрэнсіс Бэкан ,m
736,Усевалад Яраславіч,m
737,Септымій ,m
738,Варвара Вырвіч,f
739,Фрыц Кюсэ,m
740,Флавій Клаўдзій Юліян,m
741,Біргер Магнусан ,m
742,Уладзімір Басаў,m
743,Канстанцін Чарненка,m
744,Фёдар Юрчанка,m
745,Мэры Пікфард,f
746,Бабур,m
747,Анатоль Жлоба,m
748,Барбара Рэгіна Дзіцш,m
749,Філіп Меланхтан,m
750,Дзмітрый Лявіцкі,m
751,Кнут I Эрыксан,m
752,Аляксей Трубяцкой,m
753,Набіс,m
754,Іван Янушкоўскі,m
755,Франц Шміціян,m
756,Цырыл Кола,m
757,Сампсон Цвяткоўскі,m
758,Сямён Азараў,m
759,Мікалай Ляскоў,m
760,Барыс Баннікаў,m
761,Аляксандр Ярэміч,m
762,Ларыса Александроўская,f
763,Поль Сабацье,m
764,Гардыян III,m
765,Вернер Зомбарт,m
766,Шварн Данілавіч,m
767,Мікалай Пінчук,m
768,Сінклер Льюіс,m
769,Блатстулка,f
770,Георгій Семяніхін,m
771,Вячаслаў Сук,m
772,Станіслаў Пахалавецкі,m
773,Сяргей Дарожны,m
774,Аляксандр Ляўданскі,m
775,Аляксандр Чарнушэвіч,m
776,Здзіслаў Стома,m
777,Авакум Пятровіч,m
778,Хэці Мак-Дэніэл,f
779,Абрахам Бос,m
780,Сямён Альтшулер,m
781,Юрка Віцьбіч,m
782,Іван Каліта,m
783,Яганес Фрыснер,f
784,Міхаіл Паруснікаў,m
785,Аляксандр Батэнберг,m
786,Барталамэ дэ лас Касас,m
787,Катры Вала,f
788,Савелій Рубашоў,m
789,Глэдвін Джэб,m
790,Ізраіль Рагозін,m
791,Джошуа Ледэрберг,m
792,Рауль Альфансін,m
793,Аркадзь Рахмілевіч,m
794,Якаб Арміній,m
795,Іван Бурлака,m
796,Агастас Джульярд,m
797,Мікалай Лоскі,m
798,Паала Лучыа Анафеста,m
799,Іван Каблукоў,m
800,Адам Більдзюкевіч,m
801,Станіслаў Арыхоўскі-Раксалан,m
802,Міхаіл Іванавіч Смірноў ,m
803,Асікага Ёсіноры,m
804,Франц Фердынанд,m
805,Станіслаў Іваноўскі,m
806,Алесь Амельяновіч,m
807,Пятро Прыходзька,m
808,Альфрэд Гетнер,m
809,Петар Ілямніцкі,m
810,Сільві Сайма,m
811,Отан ,m
812,Іларыён Пляшчынскі,m
813,Сямён Венгераў,m
814,Луіджы Руска,m
815,Вілем Янсзан,m
816,Спенсэр Комптан,m
817,Генрых III Мекленбургскі,m
818,Юзаф Манюшка,m
819,Рыхард Зігмандзі,m
820,Марцін Карклін,m
821,Эдвард Эмерсан Барнард,m
822,Вольга Грыцук,m
823,Джон Франклін Эндэрс,m
824,Кім Філбі,m
825,Адмет Пірыдскі,m
826,Пётр Бахараў,m
827,Фрыдрых Лунгерсгаўзен,m
828,Алесь Салавей,m
829,Бостанскі вазапісец CA,m
830,Канстанцін Карацееў,m
831,Луцый Мусій Эміліян,m
832,Ёп дэн Ойл,m
833,Жанна-Мары Лепрэнс дэ Бамон,m
834,Філіп Хенч,m
835,Абу Хамід Аль-Газалі,m
836,Аладар Герэвіч,m
837,Мікеланджэла Палоні,m
838,Валабхаі Патэль,m
839,Мары Франсуа Садзі Карно,m
840,Іван Франко,m
841,Уільям Оўтрэд,m
842,Пётр Смыслоў,m
843,Ева Браўн,f
844,Леў Стахоўскі,f
845,Мена Сайманс,m
846,Джакама Бала,m
847,Ёсеф Зубаты,m
848,Эдуард Спаведнік,m
849,Рыгор Бутакоў,m
850,Барыс Галіцын,m
851,Сяргей Баран,m
852,П’етра Ферарыс,m
853,Будзікід,m
854,Віктар Швед,m
855,Лопэ дэ Вэга,m
856,Андрэй Самусеў,m
857,Антонью Фелісьяну ды Каштылью,m
858,Саншу I,m
859,Колін Маклорэн,m
860,Восіп Пятроў,m
861,Андрэй Чайкоўскі,m
862,Петэр Вільгельм Глоб,m
863,Леапольд Кні,m
864,Іаган Генрых Кальтэнбах,m
865,Раман Брэдаў,m
866,Франчэска Прыматыча,m
867,Такутаро Укон,m
868,Сафія Дацкая,f
869,Афанасій Белабародаў,m
870,Віталь Цвірка,m
871,Франсуа Клуэ,m
872,Андрэй Мрый,m
873,Фёдар Афанасьеў,m
874,Бэці Петэрсан,f
875,Марыя Сібіла Мерыян,f
876,Габідэн Мустафін,m
877,Курт Швітэрс,m
878,Феадор II Ласкарыс,m
879,Магнус I Моцны,m
880,Ідзі Амін,m
881,Васіль Кошалеў,m
882,Марыя Магдалена Радзівіл,m
883,Норберт Корсак,m
884,Карл Генрых Эміль Кох,m
885,Міхаіл Андросаў,m
886,Лотар I,m
887,Ян Ротан,m
888,Георгій Жукаў,m
889,Антоній Юзаф Жалкоўскі,m
890,Ніна Андрыч,f
891,Сяргей Лябёдкін,m
892,Ніл Дарожкін,m
893,Уільям Джэнінгс Браян,m
894,Такэо Вакабаясі,m
895,Алесіа Бальдавінеці,m
