,entity,gender
549,Wacław Olszak,m
550,Jean-Joseph-René Besse,m
551,Carlo Carafa della Spina,m
552,Giovanni Battista Bussi de Pretis,m
553,Ida Künl,m
554,Janoš Kardoš,m
555,Luigi Del Drago,m
556,Jernej Kopitar,m
557,Douglas Asthon Lofft Wade,m
558,Emil Karl Prokop Ambrozy von Dolfingen,m
559,Patrick Sarsfield Manley,m
560,Pieter J. de Waal,m
561,Karel Levičnik,m
562,Matija Valjavec,m
563,Ivan Nemec,m
564,Jože Krapše,m
565,Pino Mlakar,m
566,Vladimir A. Negovski,m
567,George Lammie,m
568,Jakob Mohorič,m
569,Arsen Glič,m
570,Giuseppe Thaon di Revel di Sant'Andrea,m
571,Enrico Platé,m
572,John Jerič,m
573,Demeter Bleiweis,m
574,William Roy,m
575,Tomaž Kristan,m
576,Alojz Bizjak,m
577,Henri Alexis Brialmont,m
578,Johannes Brahms,m
579,Carl Nielsen,m
580,Wilhelm Wain Prior,m
581,Maxwell Struthers Burt,m
582,Fran Ivan Zavrnik,m
583,Charles Malik,m
584,Dana Kobler,m
585,Rok Drofenik,m
586,Ivan Carli,m
587,Laonik Halkokondil,m
588,Janko Strel,m
589,Arthur Warwick Beament,m
590,Geoffrey Forrest Hughes,m
591,Eduard Hermann Bach von Hansberg,m
592,Peter Zadravec,m
593,Louis-Antoine de Noailles,m
594,Reginald Laurence Scoones,m
595,Anselme Brusa,m
596,Auguste-Martin Desneux,m
597,Nikola Pašić,m
598,Vojislav Radić,m
599,Costin Ionașcu,m
600,Lavoslav Koprivšek,m
601,Hubert Stanley Kreyer,m
602,Plotin,m
603,Martiņš Jeske,m
604,Janez Vurnik,m
605,Zora Karaman,m
606,Lorne Campbell,m
607,William Henry Goldney Baker,m
608,Tommaso Bernetti,m
609,Wilhelm Reich,m
610,Radovan Petrović,m
611,Luigi Galimberti,m
612,Orlando di Lasso,m
613,Pavel Pachner,m
614,Papež Inocenc XIII.,m
615,Jakob Frančišek Zupan,m
616,Thomas Phillips,m
617,Joseph Zalar,m
618,Béla II. Ogrski,m
619,Rudolf Zdolšek,m
620,Fran Josip Knaflič,m
621,Klodomer,m
622,Ladislav Polić,m
623,Stanisław Sosabowski,m
624,Virgil Jacomini,m
625,Jacob Ammen,m
626,Albert Divo,m
627,George William Gladstone Gauld,m
628,Arnold William Potts,m
629,Simeon I. Bolgarski,m
630,Anna McCune Harper,m
631,Hilderik I.,m
632,Antoine Perrenot de Granvelle,m
633,Valentin Rožič,m
634,Jean Lambert,m
635,José Antonio Manso de Velasco,m
636,Maksimilijan Njegovan,m
637,Branko Brčić,m
638,Julius Ernst Franz Andrásffy von Dévényujfalu,m
639,Victor Laloux,m
640,Gheorghe Dobre,m
641,Francesco Maurolico,m
642,John Cutts,m
643,Stephen Douglas Mills,m
644,Paul Rennenkampf,m
645,Guo Šoudžing,m
646,Arnošt Brilej,m
647,Dagobert III.,m
648,Ivan Rozman,m
649,Toussaint de Forbin-Janson,m
650,Henri-Désiré-Marie Bodet,m
651,Valentinijan II.,m
652,Harry Chapman Adriance,m
653,Erich Buschenhagen,m
654,Henry Paixhans,m
655,Alf Andersen,m
656,Ernst Karl Abbe,m
657,Bolesław Filipiak,m
658,Julius Busa,m
659,Mihail Vasiljevič Aleksejev,m
660,Aimo Kaarlo Cajander,m
661,Karl Haas,m
662,John Doeg,m
663,Francesco Bracci,m
664,Nikolaj Nikolajevič Semjonov,m
665,Isidor Bajić,m
666,Robert Francis Brydges Naylor,m
667,Walter Frederick Gale,m
668,Guilio Martinat,m
669,Alfred Russel Wallace,m
670,Ippolito II. d'Este,m
671,Luis de la Lastra y Cuesta,m
672,Roland Garros,m
673,Giulio Cesare Gotti Porcinari,m
674,Máximo Gómez,m
675,Giovanni Battista Bononcini,m
676,Vincenc Kermolj,m
677,Arthur Schopenhauer,m
678,Jørgen Hansen,m
679,Nedo Nadi,m
680,Marica Strnad Cizerlj,f
681,Giulio Cesare Tassoni,m
682,Karel Oštir,m
683,Franc Petek,m
684,Nikolaus Wuich,m
685,Julia Doria,m
686,Janez Grilc,m
687,Mircea Dimitriu,m
688,Franc Veriti,m
689,Marguerite Broquedis,m
690,Harald Christian Frederik Danski,m
691,Gregor Einspieler,m
692,Thomas Hobbes,m
693,Jan Hus,m
694,André Leducq,m
695,Baruch Spinoza,m
696,Arturo Issel,m
697,Sydney Collingwood,m
698,Cesar Kenzo,m
699,Catalanova domneva,f
700,Robert Staveley,m
701,Heitor Villa-Lobos,m
702,Louis-Albert-Lucien Mourot,m
703,Albreht I. Habsburški,m
704,Srečko Malenšek,m
705,Joel Hastings Metcalf,m
706,Jan van de Cappelle,m
707,Hans Lützelburger,m
708,Grete Heublein,m
709,Alessandro Achillini,m
710,Hadidža,f
711,Immanuel Kant,m
712,Walter Benjamin,m
713,Raymond-Charles-Emile Desre,m
714,Jožef I. Habsburški,m
715,Edward James Milford,m
716,Custódio de Melo,m
717,Pierre-Jules-André-Marie de La Font Chabert,m
718,José da Costa Nuñes,m
719,Othmar Albrecht,m
720,Atto Melani,m
721,Giovanni Battista Cipriani,m
722,Šota Rustaveli,m
723,Maurice-Charles-Gabriel Lucas,m
724,Erwin Angermeyer von Rebenberg,m
725,Adolphe Kégresse,m
726,Frederick Robert Gordon McCall,m
727,Giovanni Carlo Boschi,m
728,Vladimir Seunig,m
729,Iwan Łoginow,m
730,Otto Weininger,m
731,Marija Kessler,f
732,Abdul Hakim,m
733,Siniša Stanković,m
734,Benedetto Croce,m
735,Robert Adair,m
736,Vilko Fajdiga,m
737,Henrik II. Francoski,m
738,Katharine Hepburn,m
739,Arthur Nugent Floyer-Acland,m
740,Pietro Coppo,m
741,Al-Gazali,m
742,Osmond de Turville Lovett,m
743,Milutin Ivković,m
744,Pietro Aldobrandini,m
745,Aleksander Mihajlovič Rodčenko,m
746,Ferdinand Cheval,m
747,Georg Philipp Telemann,m
748,Rodolfo Torresan,m
749,Luigi Villoresi,m
750,Adam Bohorič,m
751,Janko Janša,m
752,Diego Kolumb,m
753,Millard Fillmore,m
754,Protipapež Filip,m
755,John Frederick Whitacre Allen,m
756,Jožef Novak,m
757,Olivier-Charles-Marie Thierry d’Argenlieu,m
758,Zmago Bregant,m
759,Milan Stojadinović,m
760,Pavel Nikolajevič Jabločkov,m
761,Theobald Patrick Probyn Butler,m
762,Charles Pozzi,m
763,François Charpentier,m
764,George Smith Houston,m
765,Gerard David,m
766,Janez Zlatousti,m
767,Erich Lüdke,m
768,Thomas Carlyle,m
769,Pavel I. Ruski,m
770,Arso Jovanović,m
771,Marcel-Charles-Joseph Lamson,m
772,Friedrich Wöhler,m
773,Owen Murton Wales,m
774,Walter Model,m
775,Conrad Haas,m
776,Adolf Sadar,m
777,Jaap Eden,m
778,Papež Lucij III.,m
779,Henri-Léon Caillault,m
780,Andrea Carlo Ferrari,m
781,Enrique Cardona,m
782,Miguel Primo de Rivera,m
783,Vincenzo Scamozzi,m
784,José Garibi y Rivera,m
785,Louis La Feuillade,m
786,Kurt Schwitters,m
787,Errol Knox,m
788,Fran Adamič,m
789,Papež Klemen VIII.,m
790,Astrid Švedska,f
791,Štefan Milutin,m
792,Omar Nelson Bradley,m
793,John Edensor Littlewood,m
794,George Henry Decker,m
795,Viljem Ogrinc,m
796,Francesco Maria Pignatelli mlajši,m
797,Jože Košar,m
798,Francesco Antonio Arena,m
799,Pargali Ibrahim Paša,m
800,Georges-Albert-Julien Catroux,m
801,Sebastian Kneipp,m
802,Aleksander Aleksandrovič Aljehin,m
803,Aleš Benigar,m
804,Herbert Loch,m
805,Christoffel Johannes Venter,m
806,Whitefield Chadwick,m
807,Neville Godfray Hind,m
808,Jacob Jennings Brown,m
809,Ivan Narat,m
810,Abdul Hamid II.,m
811,Robert I. Courtenayski,m
812,Josef Aurnhammer von Aurnstein,m
813,Nikolaj Henel,m
814,François Christophe de Kellermann,m
815,Evtropij,m
816,Constantin Petrovicescu,m
817,Willem de Heusch,m
818,Suger,m
819,Richard van der Riet Woolley,m
820,Stanisław Tatar,m
821,Heinrich Dusemer,m
822,Andrés de Urdaneta,m
823,Géraud-Muarice-Marie-Joseph de Fontanges,m
824,Papež Janez XIV.,m
825,Danilo Zelen,m
826,Lala Şâhin paša,m
827,Ivan Merz,m
828,Thomas Scott,m
829,Damir Feigel,m
830,Sergij Radoneški,m
831,Renato Ricci,m
832,Manuel Joaquín Tarancón y Morón,m
833,Giulio Boschi,m
834,Emerik Ogrski,m
835,Morgan Cyril Morgan,m
836,Matvej Jevgrafovič Hrapovicki,m
837,Anton Novačan,m
838,William Gilbert,m
839,Antonio Smareglia,m
840,Graham Greene,m
841,Friedrich Karl Arnold Schwassmann,m
842,Jacques-Paul Martin,m
843,Grigorij Nikolajevič Neujmin,m
844,Alexander Donald Powys Campbell,m
845,Herbert Marcuse,m
846,Paride Negri,m
847,Stephen Cyril Etterick Weir,m
848,Lorenzo Lotto,m
849,Émile Léonard Mathieu,m
850,Sveti Boštjan,m
851,Lambert Adolphe Jacques Quételet,m
852,Kazimierz Orlik-Łukoski,m
853,Henrik Werth,m
854,Franklin Delano Roosevelt,m
855,Sigfrid Öberg,m
856,Benedetto da Maiano,m
857,Olivier-Jules J. Derousseaux,m
858,Aimé-Charles-Jean-Félix Trucy,m
859,Émile Guépratte,m
860,Francesco Talenti,m
861,Gottfried Benn,m
862,Tomaž Erdedi,m
863,Girolamo Savonarola,m
864,Eugen Lüftner von Krinnerstorff,m
865,Erich Raeder,m
866,Johann Philipp Reis,m
867,Marija Zerova,f
868,Ferdinand Jodl,m
869,Andrej Urek,m
870,Theodore Edward Dudley Kelly,m
871,Gerard Russell Smallwood,m
872,Edmund Spenser,m
873,Alenka Taštanoska,f
874,Pierre Duhem,m
875,George Noel Gordon Byron,m
876,Papež Benedikt IX.,m
877,Louis Nicolas Vauquelin,m
878,Andrew Hamilton Gault,m
879,Georges Canguilhem,m
880,Luigi Trombetta,m
